1,1970-01-01,1,1,1970,4,1
2,1970-01-02,2,1,1970,5,1
3,1970-01-03,3,1,1970,6,1
4,1970-01-04,4,1,1970,0,1
5,1970-01-05,5,1,1970,1,1
6,1970-01-06,6,1,1970,2,1
7,1970-01-07,7,1,1970,3,1
8,1970-01-08,8,1,1970,4,1
9,1970-01-09,9,1,1970,5,1
10,1970-01-10,10,1,1970,6,1
11,1970-01-11,11,1,1970,0,1
12,1970-01-12,12,1,1970,1,1
13,1970-01-13,13,1,1970,2,1
14,1970-01-14,14,1,1970,3,1
15,1970-01-15,15,1,1970,4,1
16,1970-01-16,16,1,1970,5,1
17,1970-01-17,17,1,1970,6,1
18,1970-01-18,18,1,1970,0,1
19,1970-01-19,19,1,1970,1,1
20,1970-01-20,20,1,1970,2,1
21,1970-01-21,21,1,1970,3,1
22,1970-01-22,22,1,1970,4,1
23,1970-01-23,23,1,1970,5,1
24,1970-01-24,24,1,1970,6,1
25,1970-01-25,25,1,1970,0,1
26,1970-01-26,26,1,1970,1,1
27,1970-01-27,27,1,1970,2,1
28,1970-01-28,28,1,1970,3,1
29,1970-01-29,29,1,1970,4,1
30,1970-01-30,30,1,1970,5,1
31,1970-01-31,31,1,1970,6,1
32,1970-02-01,1,2,1970,0,1
33,1970-02-02,2,2,1970,1,1
34,1970-02-03,3,2,1970,2,1
35,1970-02-04,4,2,1970,3,1
36,1970-02-05,5,2,1970,4,1
37,1970-02-06,6,2,1970,5,1
38,1970-02-07,7,2,1970,6,1
39,1970-02-08,8,2,1970,0,1
40,1970-02-09,9,2,1970,1,1
41,1970-02-10,10,2,1970,2,1
42,1970-02-11,11,2,1970,3,1
43,1970-02-12,12,2,1970,4,1
44,1970-02-13,13,2,1970,5,1
45,1970-02-14,14,2,1970,6,1
46,1970-02-15,15,2,1970,0,1
47,1970-02-16,16,2,1970,1,1
48,1970-02-17,17,2,1970,2,1
49,1970-02-18,18,2,1970,3,1
50,1970-02-19,19,2,1970,4,1
51,1970-02-20,20,2,1970,5,1
52,1970-02-21,21,2,1970,6,1
53,1970-02-22,22,2,1970,0,1
54,1970-02-23,23,2,1970,1,1
55,1970-02-24,24,2,1970,2,1
56,1970-02-25,25,2,1970,3,1
57,1970-02-26,26,2,1970,4,1
58,1970-02-27,27,2,1970,5,1
59,1970-02-28,28,2,1970,6,1
60,1970-03-01,1,3,1970,0,1
